HORA,IDADE,SEXO,TIPO,ARMA,CIDADE
17,37,MASCULINO,HOMICíDIO DOLOSO,PAF,PALMEIRA DOS ÍNDIOS
21,15,MASCULINO,HOMICíDIO DOLOSO,PAF,MACEIÓ
22,37,MASCULINO,HOMICíDIO DOLOSO,PAF,TRAIPU
2,17,MASCULINO,HOMICíDIO DOLOSO,PAF,PALMEIRA DOS ÍNDIOS
12,29,MASCULINO,HOMICíDIO DOLOSO,ESPANCADO,RIO LARGO
13,43,MASCULINO,HOMICíDIO DOLOSO,PAF,MATRIZ DE CAMARAGIBE
16,37,MASCULINO,HOMICíDIO DOLOSO,PAF,SÃO JOSÉ DA TAPERA
19,25,MASCULINO,HOMICíDIO DOLOSO,PAF,SANTANA DO IPANEMA
22,22,MASCULINO,HOMICíDIO DOLOSO,BRANCA,ATALAIA
0,36,MASCULINO,HOMICíDIO DOLOSO,PAF,SÃO MIGUEL DOS MILAGRES
1,29,MASCULINO,HOMICíDIO DOLOSO,PAF,CAMPO ALEGRE
10,18,MASCULINO,HOMICíDIO DOLOSO,PAF,SÃO MIGUEL DOS CAMPOS
14,21,MASCULINO,HOMICíDIO DOLOSO,PAF,MACEIÓ
21,20,MASCULINO,HOMICíDIO DOLOSO,PAF,RIO LARGO
17,50,MASCULINO,HOMICíDIO DOLOSO,PAF,MACEIÓ
23,22,MASCULINO,HOMICíDIO DOLOSO,PAF,MARAVILHA
13,53,MASCULINO,HOMICíDIO DOLOSO,PAF,SANTANA DO MUNDAÚ
20,39,MASCULINO,HOMICíDIO DOLOSO,PAF,ARAPIRACA
16,18,MASCULINO,HOMICíDIO DOLOSO,ESPANCADO,BARRA DE SÃO MIGUEL
16,21,MASCULINO,HOMICíDIO DOLOSO,PAF/B,BARRA DE SANTO ANTÔNIO
18,27,MASCULINO,HOMICíDIO DOLOSO,PAF,SÃO LUÍS DO QUITUNDE
20,37,MASCULINO,HOMICíDIO DOLOSO,PAF,JARAMATAIA
20,28,MASCULINO,HOMICíDIO DOLOSO,PAF,MACEIÓ
21,35,MASCULINO,HOMICíDIO DOLOSO,PAF,ARAPIRACA
13,43,MASCULINO,HOMICíDIO DOLOSO,PAF,MACEIÓ
15,42,MASCULINO,HOMICíDIO DOLOSO,BRANCA,PILAR
16,20,MASCULINO,HOMICíDIO DOLOSO,PAF/B,MACEIÓ
17,51,MASCULINO,HOMICíDIO DOLOSO,ASFIXIA MECÂNICA,JUNQUEIRO
22,34,MASCULINO,HOMICíDIO DOLOSO,PAF,ARAPIRACA
3,35,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MACEIÓ
11,46,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
17,16,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
19,32,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO LUÍS DO QUITUNDE
19,17,FEMININO,HOMICÍDIO DOLOSO,PAF,CORURIPE
23,25,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
8,48,MASCULINO,HOMICÍDIO DOLOSO,ESPANCADO,OLHO D ÁGUA DO CASADO
10,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
19,21,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
19,30,MASCULINO,HOMICÍDIO DOLOSO,PAF,PILAR
5,38,MASCULINO,HOMICÍDIO DOLOSO,PAF/B,IGREJA NOVA
8,23,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO LUÍS DO QUITUNDE
11,13,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO MIGUEL DOS CAMPOS
12,24,MASCULINO,HOMICÍDIO DOLOSO,PAF,RIO LARGO
16,19,MASCULINO,HOMICÍDIO DOLOSO,ESPANCADO,PÃO DE AÇÚCAR
18,30,MASCULINO,HOMICÍDIO DOLOSO,PAF,FEIRA GRANDE
19,33,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,MACEIÓ
19,20,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,MACEIÓ
19,22,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,MACEIÓ
19,41,MASCULINO,HOMICÍDIO DOLOSO,PAF/B,MACEIÓ
20,20,MASCULINO,HOMICÍDIO DOLOSO,PAF,PENEDO
20,15,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO MIGUEL DOS CAMPOS
11,19,MASCULINO,HOMICÍDIO DOLOSO,PAF,COITÉ DO NÓIA
13,22,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
20,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,LIMOEIRO DE ANADIA
20,21,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
23,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,SATUBA
23,21,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MURICI
23,24,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MACEIÓ
1,19,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,PIRANHAS
1,22,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,PIRANHAS
7,58,FEMININO,FEMINICÍDIO,ESPANCADO,JOAQUIM GOMES
7,33,MASCULINO,HOMICÍDIO DOLOSO,PAF,MATRIZ DE CAMARAGIBE
